TIMESTAMP,WS,WD,Sigma,Gust,T2_Avg,T10_Avg,DeltaT_Avg,Tach2_Avg,Tach10_Avg,EETemp_Avg,RH_Avg,SR_Avg,Press_Avg,Precip_Tot,Pan_2min,EvapHr,Fill_Secs_Max,Batt_Min,NoScansH
2024-11-23 00:00:00,2.17,163.6,16.79,3.69,14.67,17.27,2.6,182.8,152.9,15.36,14.73,-3.26,843.79,0.0,7.14,0.0,0.0,13.68,3600.0
2024-11-23 01:00:00,1.3,189.4,35.91,3.38,14.25,16.58,2.33,182.9,153.6,14.83,18.44,-3.15,843.61,0.0,7.14,0.01,0.0,13.69,3600.0
2024-11-23 02:00:00,0.69,160.7,48.0,3.17,14.31,16.49,2.19,183.1,154.5,14.58,22.66,-2.1,843.35,0.0,7.13,0.01,0.0,13.72,3600.0
2024-11-23 03:00:00,0.95,187.0,59.01,3.28,15.35,16.88,1.53,183.1,154.4,15.65,23.85,-1.85,843.02,0.0,7.13,0.0,0.0,13.74,3600.0
2024-11-23 04:00:00,0.58,173.5,55.44,2.25,14.18,16.08,1.9,183.2,155.0,14.49,26.45,-2.25,842.6,0.0,7.11,0.01,0.0,13.74,3600.0
2024-11-23 05:00:00,1.76,167.7,15.05,3.38,13.79,16.61,2.82,183.5,153.8,14.67,26.93,-2.59,842.35,0.0,7.11,0.0,0.0,13.75,3600.0
2024-11-23 06:00:00,1.27,159.8,21.59,3.38,14.08,15.92,1.84,183.2,154.2,14.74,27.02,-3.0,842.23,0.0,7.11,0.01,0.0,13.74,3600.0
2024-11-23 07:00:00,0.79,121.3,36.88,2.56,13.34,15.17,1.83,183.4,155.2,13.58,28.38,-1.5,842.59,0.0,7.1,0.0,0.0,13.77,3600.0
2024-11-23 08:00:00,1.23,165.7,23.57,2.76,13.68,15.7,2.02,183.5,154.3,14.15,27.24,92.9,843.08,0.0,7.1,0.0,0.0,13.72,3600.0
2024-11-23 09:00:00,2.12,149.2,17.06,6.14,17.36,17.44,0.08,182.5,153.4,17.62,21.23,303.7,843.43,0.0,7.09,0.01,0.0,13.57,3600.0
2024-11-23 10:00:00,4.95,180.8,15.47,9.11,19.15,18.89,-0.26,182.4,155.3,19.2,18.41,497.3,843.66,0.0,7.06,0.04,0.0,13.48,3600.0
2024-11-23 11:00:00,4.44,184.5,19.96,10.96,20.18,19.7,-0.48,181.5,153.9,20.17,16.84,634.9,843.56,0.0,7.05,0.01,0.0,13.4,3600.0
2024-11-23 12:00:00,4.62,205.3,23.18,10.04,20.86,20.31,-0.55,181.0,153.5,20.83,15.27,702.9,842.95,0.0,7.04,0.0,0.0,13.33,3600.0
