TIMESTAMP,WS,WD,Sigma,Gust,T2_Avg,T10_Avg,DeltaT_Avg,Tach2_Avg,Tach10_Avg,EETemp_Avg,RH_Avg,SR_Avg,Press_Avg,Precip_Tot,Pan_2min,EvapHr,Fill_Secs_Max,Batt_Min,NoScansH
2024-11-23,2.167,163.6,16.79,3.686,14.67,17.27,2.602,182.8,152.9,15.36,14.73,-3.26,843.788,0.0,7.141,0.004,0.0,13.68,3600.0
2024-11-24,2.439,192.475,27.222,10.96,16.683,17.672,0.989,182.142,153.279,16.997,17.67,184.259,842.317,0.0,6.929,-0.0,0.0,13.556,3600.0
2024-11-25,3.062,219.278,29.341,11.98,15.356,15.667,0.309,182.425,153.525,15.614,15.293,160.218,842.871,0.0,6.742,-0.015,0.0,13.602,3600.0
2024-11-26,2.151,204.589,19.787,7.168,14.703,15.505,0.801,182.008,152.508,14.965,26.092,130.001,846.464,0.0,6.569,-0.023,0.0,13.6,3600.0
2024-11-27,2.28,231.694,19.961,9.73,15.428,16.581,1.152,181.946,152.417,15.698,35.378,157.321,845.8,0.0,6.426,-0.087,0.0,13.563,3600.0
2024-11-28,3.17,241.1,17.399,12.6,16.349,16.382,0.034,182.108,152.467,16.598,33.978,75.818,842.469,0.0,6.286,-0.023,0.0,13.554,3600.0
2024-11-29,2.184,234.538,23.682,8.6,12.892,13.407,0.517,182.758,153.171,13.137,44.225,136.458,842.425,0.0,6.165,-0.129,0.0,13.643,3599.0
2024-11-30,2.008,181.864,18.368,5.734,11.702,12.643,0.941,183.208,153.6,11.939,47.203,117.958,843.22,0.0,6.072,-0.119,0.0,13.698,3600.0
2024-12-01,2.278,195.633,15.069,6.246,13.327,14.498,1.17,182.796,152.975,13.624,33.754,129.55,844.603,0.0,5.967,-0.154,0.0,13.642,3600.0
2024-12-02,1.98,205.408,19.457,6.349,14.379,16.118,1.74,182.592,152.758,14.703,28.565,170.523,845.25,0.0,5.869,-0.089,0.0,13.594,3600.0
2024-12-03,2.988,164.896,13.519,8.09,14.103,15.648,1.545,182.783,153.025,14.407,26.935,172.379,845.293,0.0,5.647,-0.275,0.0,13.613,3600.0
2024-12-04,2.991,194.842,20.246,10.24,13.599,14.38,0.782,182.858,153.496,13.895,25.711,172.702,845.119,0.0,5.463,-0.093,0.0,13.645,3599.0
2024-12-05,2.172,208.658,16.794,7.578,10.936,12.6,1.664,183.433,153.517,11.239,30.72,170.021,844.648,0.0,5.294,-0.272,0.0,13.717,3600.0
2024-12-06,2.115,164.528,19.708,9.11,10.879,12.109,1.231,183.629,153.871,11.115,34.147,156.801,843.286,0.0,5.185,-0.069,0.0,13.716,3600.0
2024-12-07,2.568,131.386,20.802,9.11,9.089,9.581,0.492,184.292,154.896,9.272,58.284,136.274,842.916,0.0,5.1,-0.025,0.0,13.774,3600.0
2024-12-08,1.948,184.373,21.288,7.168,8.279,9.381,1.102,184.45,154.817,8.523,59.052,142.674,843.805,0.0,5.042,-0.0,0.0,13.816,3600.0
2024-12-09,2.589,215.588,23.648,10.85,10.214,11.294,1.08,184.2,154.408,10.474,37.364,170.578,843.678,0.0,4.956,-0.001,0.0,13.768,3600.0
2024-12-10,2.691,249.517,28.426,11.78,11.481,11.547,0.065,183.754,154.233,11.726,26.452,169.486,843.171,0.0,4.815,0.002,0.0,13.731,3600.0
2024-12-11,3.55,108.672,22.627,17.0,6.385,6.413,0.028,184.896,156.725,6.557,18.492,177.266,847.15,0.0,4.706,0.001,0.0,13.923,3600.0
2024-12-12,3.003,125.612,15.105,8.6,8.563,9.12,0.557,184.2,154.888,8.825,10.114,160.278,845.513,0.0,4.585,0.001,0.0,13.836,3600.0
2024-12-13,3.623,178.625,20.999,14.75,11.393,11.986,0.592,184.038,155.492,11.66,9.746,140.0,841.798,0.0,4.396,0.002,0.0,13.742,3600.0
2024-12-14,3.842,221.904,17.904,13.0,10.625,11.146,0.521,184.062,155.029,10.901,17.122,154.89,843.687,0.0,4.243,0.002,0.0,13.755,3600.0
2024-12-15,2.347,197.695,19.77,6.042,10.723,12.531,1.808,183.621,153.817,11.033,21.12,164.666,845.595,0.0,4.127,0.0,0.0,13.742,3600.0
2024-12-16,2.233,207.736,25.199,7.987,12.026,13.797,1.771,183.254,153.596,12.358,19.039,166.542,844.127,0.0,3.98,0.001,0.0,13.684,3600.0
2024-12-17,2.988,189.186,12.37,8.29,11.505,13.847,2.343,183.636,153.777,11.863,18.951,123.642,844.758,0.0,3.837,-0.0,0.0,13.718,201.0
2024-12-18,2.199,209.024,17.381,6.554,12.751,15.075,2.325,182.908,153.237,13.132,17.43,146.864,844.764,0.0,3.704,-0.0,0.0,13.656,513.0
2024-12-19,3.473,164.929,12.202,10.96,13.122,14.792,1.67,182.771,153.317,13.476,18.51,166.263,847.137,0.0,3.551,0.002,0.0,13.643,3600.0
2024-12-20,2.665,178.86,13.312,5.837,12.485,14.726,2.241,182.729,153.233,12.868,21.582,164.51,847.074,0.0,3.422,0.0,0.0,13.656,3600.0
2024-12-21,2.525,192.026,17.813,5.734,13.601,15.992,2.391,182.475,152.633,14.012,17.546,166.538,848.051,0.0,3.305,0.001,0.0,13.628,3600.0
2024-12-22,2.149,192.914,15.483,6.451,15.001,17.56,2.559,182.052,152.374,15.39,10.916,175.33,846.815,0.0,3.168,-0.0,0.0,13.573,1195.0
2024-12-23,2.661,226.235,18.074,12.19,15.32,17.34,2.018,182.357,152.752,15.657,9.234,145.868,845.033,0.0,2.978,0.0,0.0,13.594,3487.0
